case_id,compute_work,council_branch_compute_work,council_branch_validation_nodes,council_compute_work,council_initial_compute_work,council_initial_validations,discovering_node,finishing_node,host_wall_seconds,mode,pouw_computations,pouw_compute_work,pouw_time,proof_hash_checks,proof_hash_compute_work,proof_semantic_checks,proof_semantic_compute_work,search_compute_work,simulation_time,total_computations,total_compute_work,total_hashes,total_time,transcript_compute_work,transcript_records,validation_computations,validation_compute_work,validation_time,validation_valid
7,,0.08141927983909211,519,0.08143974379334502,2.046395425291507e-05,4,node4,node2,0.2205841669997426,council,3412,0.11411328924180354,55.17704246253996,0,0.0,0,0.0,0.11411328924180354,285.34906860764977,5847.057368595237,0.19555303303514857,,285.34906860764977,0.0,0,2435.0573685952363,0.08143974379334502,230.1720261451098,True
8,0.029244251527357813,,,,,,,,0.02165833900016878,pow,,,,,,,,,7.279448621553884,,,25703,,,,,,,
8,,0.0,0,0.0,0.0,0,node3,node1,0.0445886839997911,none,1113,0.03722394224095174,9.342956819912398,0,0.0,0,0.0,0.03722394224095174,9.342956819912398,1113.0,0.03722394224095174,,9.342956819912398,0.0,0,0.0,0.0,0.0,True
8,,0.0,0,0.0,0.0,0,node5,node4,0.12725538599988795,proof,1222,0.04824420685028838,15.493566527562576,2248,0.0064143511634464296,2261,0.04171149376230052,0.040869413673354026,86.25557747633407,2881.475232591724,0.09637005177603533,,86.25557747633407,0.007374793176934353,2248,1438.9680989626106,0.048125844925746945,70.76201094877149,True
8,,0.021649057067041833,138,0.021669521021294748,2.046395425291507e-05,4,node3,node1,0.06398947199977556,council,1113,0.03722394224095174,9.342956819912398,0,0.0,0,0.0,0.03722394224095174,19.03121050853795,1760.9210810231582,0.05889346326224649,,19.03121050853795,0.0,0,647.9210810231582,0.021669521021294748,9.68825368862555,True
9,0.056437093277497935,,,,,,,,0.04102658900001188,pow,,,,,,,,,19.21951219512195,,,49603,,,,,,,
9,,0.0,0,0.0,0.0,0,node4,node3,0.06005352500005756,none,1529,0.05113693412975311,17.46564419475578,0,0.0,0,0.0,0.05113693412975311,17.46564419475578,1529.0,0.05113693412975311,,17.46564419475578,0.0,0,0.0,0.0,0.0,True
9,,0.0,0,0.0,0.0,0,node3,node2,0.1352822250000827,proof,1578,0.06231243389976244,28.914246352247,2907,0.00829471478297988,2920,0.05386889066161765,0.052775724039732116,117.78255533090139,3721.8473769781567,0.12447603934435997,,117.78255533090139,0.009536709860030322,2907,1858.6986948341034,0.062163605444597536,88.86830897865438,True
9,,0.02855165497247546,182,0.028572118926728375,2.046395425291507e-05,4,node4,node3,0.0870761829996809,council,1529,0.05113693412975311,17.46564419475578,0,0.0,0,0.0,0.05113693412975311,47.3712762347388,2383.309523682401,0.07970905305648149,,47.3712762347388,0.0,0,854.3095236824008,0.028572118926728375,29.90563203998302,True
10,0.12996699248019902,,,,,,,,0.08566948399993635,pow,,,,,,,,,37.73725490196078,,,114229,,,,,,,
10,,0.0,0,0.0,0.0,0,node4,node3,0.07417695599997387,none,1987,0.06645460308425077,19.393721966467623,0,0.0,0,0.0,0.06645460308425077,19.393721966467623,1987.0,0.06645460308425077,,19.393721966467623,0.0,0,0.0,0.0,0.0,True
10,,0.0,0,0.0,0.0,0,node2,node1,0.16614811099998406,proof,1910,0.075371310417604,29.187576646417927,3503,0.009995316781829557,3516,0.06486404779666016,0.0638793617971409,122.48646370929787,4491.913838365583,0.15023067499609372,,122.48646370929787,0.011491948620463096,3503,2238.303300508473,0.07485936457848971,93.29888706287994,True
10,,0.03843492015525543,245,0.03845538410950835,2.046395425291507e-05,4,node4,node3,0.12008074999994278,council,1987,0.06645460308425077,19.393721966467623,0,0.0,0,0.0,0.06645460308425077,53.700919649569514,3136.8202483990435,0.10490998719375913,,53.700919649569514,0.0,0,1149.8202483990437,0.03845538410950835,34.30719768310189,True
11,0.06674761762644228,,,,,,,,0.0481351349999386,pow,,,,,,,,,21.34102564102564,,,58665,,,,,,,
11,,0.0,0,0.0,0.0,0,node5,node2,0.0410213609998209,none,1067,0.035685486407093896,11.4764762132976,0,0.0,0,0.0,0.035685486407093896,11.4764762132976,1067.0,0.035685486407093896,,11.4764762132976,0.0,0,0.0,0.0,0.0,True
11,,0.0,0,0.0,0.0,0,node4,node1,0.08581389199980549,proof,967,0.03821001408630046,16.273751996069368,1789,0.005104659355607501,1802,0.03324374690829966,0.03234101720305511,209.5329854839305,2289.105256456105,0.07655842035020763,,209.5329854839305,0.005868996883245355,1789,1146.6215989550005,0.03834840626390716,193.25923348786114,True
11,,0.017570249213831053,112,0.017590713168083968,2.046395425291507e-05,4,node5,node2,0.05722576599964668,council,1067,0.035685486407093896,11.4764762132976,0,0.0,0,0.0,0.035685486407093896,29.165007277587605,1592.9642739972421,0.05327619957517786,,29.165007277587605,0.0,0,525.9642739972421,0.017590713168083968,17.688531064290004,True
12,0.04474075799752135,,,,,,,,0.028792253000119672,pow,,,,,,,,,12.826016260162602,,,39323,,,,,,,
12,,0.0,0,0.0,0.0,0,node2,node3,0.03560036699991542,none,1050,0.0351169266424073,10.231223720666593,0,0.0,0,0.0,0.0351169266424073,10.231223720666593,1050.0,0.0351169266424073,,10.231223720666593,0.0,0,0.0,0.0,0.0,True
12,,0.0,0,0.0,0.0,0,node1,node3,0.06763651600022058,proof,814,0.03215472404726914,12.079181960047254,1503,0.0042885986648843345,1516,0.027967547343497386,0.02722397932087576,41.362660060741135,1925.892155857441,0.06441087005565085,,41.362660060741135,0.004930744726393386,1503,964.4623418696486,0.03225614600838172,29.28347810069388,True
12,,0.01600147696259614,102,0.016021940916849053,2.046395425291507e-05,4,node2,node3,0.05205469799966522,council,1050,0.0351169266424073,10.231223720666593,0,0.0,0,0.0,0.0351169266424073,24.811929775514045,1529.057809756505,0.051138867559256354,,24.811929775514045,0.0,0,479.05780975650515,0.016021940916849053,14.580706054847452,True
13,0.24586766267767912,,,,,,,,0.17512785999997504,pow,,,,,,,,,76.87567567567568,,,216095,,,,,,,
13,,0.0,0,0.0,0.0,0,node1,node2,0.03480844399973648,none,841,0.02812698600596623,8.875424084504775,0,0.0,0,0.0,0.02812698600596623,8.875424084504775,841.0,0.02812698600596623,,8.875424084504775,0.0,0,0.0,0.0,0.0,True
13,,0.0,0,0.0,0.0,0,node5,node2,0.07291017799980182,proof,778,0.030698108783893497,12.949670162768165,1426,0.0040688900173819435,1439,0.02654703207605062,0.026019970407421794,51.74401830422998,1833.2963210808775,0.061314030877326064,,51.74401830422998,0.004678138376471703,1426,915.419464962054,0.030615922093432564,38.79434814146182,True
13,,0.010981405758644409,70,0.011001869712897324,2.046395425291507e-05,4,node1,node2,0.045616662000156794,council,841,0.02812698600596623,8.875424084504775,0,0.0,0,0.0,0.02812698600596623,45.823749379996116,1169.9571241861468,0.039128855718863556,,45.823749379996116,0.0,0,328.95712418614687,0.011001869712897324,36.94832529549134,True
14,0.09146352144812822,,,,,,,,0.06429756699981226,pow,,,,,,,,,39.483870967741936,,,80388,,,,,,,
14,,0.0,0,0.0,0.0,0,node5,node4,0.08308965900005205,none,1828,0.061136897049829095,26.475226816350894,0,0.0,0,0.0,0.061136897049829095,26.475226816350894,1828.0,0.061136897049829095,,26.475226816350894,0.0,0,0.0,0.0,0.0,True
14,,0.0,0,0.0,0.0,0,node5,node2,0.1709191469999496,proof,1677,0.06624677278169747,37.49951874982078,3097,0.008836853004089677,3110,0.05737405820466812,0.05608674855173052,120.14317891980747,3960.4994368164307,0.13245768399045527,,120.14317891980747,0.010160024229966945,3097,1979.713585904792,0.0662109112087578,82.64366016998669,True
14,,0.03200295392519228,204,0.032023417879445196,2.046395425291507e-05,4,node5,node4,0.11433071000010386,council,1828,0.061136897049829095,26.475226816350894,0,0.0,0,0.0,0.061136897049829095,69.89194999900256,2785.503745012022,0.09316031492927429,,69.89194999900256,0.0,0,957.5037450120223,0.032023417879445196,43.41672318265167,True
15,0.003891193254622562,,,,,,,,0.003978772000209574,pow,,,,,,,,,1.170015455950541,,,3420,,,,,,,
15,,0.0,0,0.0,0.0,0,node5,node3,0.022816443000010622,none,559,0.01869558285057684,5.69186318906979,0,0.0,0,0.0,0.01869558285057684,5.69186318906979,559.0,0.01869558285057684,,5.69186318906979,0.0,0,0.0,0.0,0.0,True
15,,0.0,0,0.0,0.0,0,node5,node4,0.05995619800023633,proof,575,0.022721258394868132,8.722876169619365,1064,0.0030359740382148582,1077,0.019868765494028155,0.019230697923223048,44.76251277304583,1364.2223965469038,0.045625997927111146,,44.76251277304583,0.003490560471645085,1064,684.8542514484267,0.022904739532243014,36.03963660342646,True
15,,0.01207954633450885,77,0.012100010288761764,2.046395425291507e-05,4,node5,node3,0.03405085299982602,council,559,0.01869558285057684,5.69186318906979,0,0.0,0,0.0,0.01869558285057684,14.611246060821877,920.7916491546628,0.030795593139338606,,14.611246060821877,0.0,0,361.79164915466276,0.012100010288761764,8.919382871752088,True
16,0.09596001143124763,,,,,,,,0.06827995499997996,pow,,,,,,,,,40.22012578616352,,,84340,,,,,,,
